Country,Value,Year
India,25500,2016
European Union,15441,2016
China,15600,2016
United States,10979,2016
Brazil,10550,2016
Indonesia,6186,2016
Russia,5872,2016
Pakistan,5100,2016
Mexico,4769,2016
Egypt,2950,2016
Turkey,2739,2016
Iran,2655,2016
Bangladesh,2232,2016
Thailand,2680,2016
Philippines,2190,2016
Vietnam,1838,2016
Algeria,1749,2016
Japan,2031,2016
Colombia,1900,2016
Malaysia,1736,2016
South Africa,1960,2016
United Kingdom,1983,2016
Sudan,1290,2016
Nigeria,1545,2016
South Korea,1424,2016
India,26500,2017
European Union,17000,2017
China,15700,2017
United States,10930,2017
Brazil,10600,2017
Indonesia,6375,2017
Russia,6112,2017
Pakistan,5300,2017
Mexico,4512,2017
Egypt,3050,2017
Turkey,2728,2017
Iran,2448,2017
Bangladesh,2659,2017
Thailand,2580,2017
Philippines,2250,2017
Vietnam,1756,2017
Algeria,1908,2017
Japan,2063,2017
Colombia,1764,2017
Malaysia,1833,2017
South Africa,1961,2017
United Kingdom,1896,2017
Sudan,1564,2017
Nigeria,1610,2017
South Korea,1519,2017
India,27500,2018
European Union,17000,2018
China,15800,2018
United States,10982,2018
Brazil,10600,2018
Indonesia,7055,2018
Russia,6021,2018
Pakistan,5400,2018
Mexico,4317,2018
Egypt,3100,2018
Turkey,2784,2018
Iran,2492,2018
Bangladesh,2519,2018
Thailand,2480,2018
Philippines,2300,2018
Vietnam,1573,2018
Algeria,2093,2018
Japan,1980,2018
Colombia,1858,2018
Malaysia,1991,2018
South Africa,1770,2018
United Kingdom,1900,2018
Sudan,1632,2018
Nigeria,1610,2018
South Korea,1668,2018
India,27000,2019
European Union,16600,2019
China,15400,2019
United States,11173,2019
Brazil,10650,2019
Indonesia,7356,2019
Russia,6120,2019
Pakistan,5600,2019
Mexico,4349,2019
Egypt,3250,2019
Turkey,2999,2019
Iran,2216,2019
Bangladesh,2477,2019
Thailand,2360,2019
Philippines,2300,2019
Vietnam,1768,2019
Algeria,2138,2019
Japan,1960,2019
Colombia,1860,2019
Malaysia,1877,2019
South Africa,1520,2019
United Kingdom,1700,2019
Sudan,1953,2019
Nigeria,1620,2019
South Korea,1623,2019
India,28000,2020
European Union,16600,2020
China,15500,2020
United States,11000,2020
Brazil,10150,2020
Indonesia,7445,2020
Russia,6018,2020
Pakistan,5750,2020
Mexico,4202,2020
Egypt,3340,2020
Turkey,2910,2020
Iran,2571,2020
Bangladesh,2510,2020
Thailand,2480,2020
Philippines,2000,2020
Vietnam,1984,2020
Algeria,2100,2020
Japan,1854,2020
Colombia,1875,2020
Malaysia,1855,2020
South Africa,1670,2020
United Kingdom,1700,2020
Sudan,1653,2020
Nigeria,1610,2020
South Korea,1575,2020
India,28500,2021
European Union,16750,2021
China,15800,2021
United States,11000,2021
Brazil,10200,2021
Indonesia,7500,2021
Russia,6000,2021
Pakistan,5900,2021
Mexico,4192,2021
Egypt,3430,2021
Turkey,2940,2021
Iran,2721,2021
Bangladesh,2560,2021
Thailand,2500,2021
Philippines,2200,2021
Vietnam,2120,2021
Algeria,2085,2021
Japan,1919,2021
Colombia,1900,2021
Malaysia,1890,2021
South Africa,1710,2021
United Kingdom,1700,2021
Sudan,1615,2021
Nigeria,1600,2021
South Korea,1595,2021
