Country,total_Value,Year,population,Total_value_gram,Value
Malaysia,1991,2018,32399272,1.99E+12,61451.99806
Malaysia,1833,2017,31975806,1.83E+12,57324.59097
Malaysia,1877,2019,32804020,1.88E+12,57218.59699
Malaysia,1890,2021,33573874,1.89E+12,56293.77176
Malaysia,1736,2016,30949962,1.74E+12,56090.53736
Malaysia,1855,2020,33199993,1.86E+12,55873.50576
Brazil,10550,2016,205823665,1.06E+13,51257.46838
Brazil,10600,2017,208504960,1.06E+13,50838.11915
Brazil,10600,2018,210166593,1.06E+13,50436.17946
Brazil,10650,2019,211782878,1.07E+13,50287.35137
Algeria,2138,2019,42705369,2.14E+12,50063.96268
Algeria,2093,2018,41927007,2.09E+12,49920.09089
Algeria,2100,2020,43451666,2.10E+12,48329.56232
Brazil,10150,2020,213196304,1.02E+13,47608.70526
Brazil,10200,2021,214326223,1.02E+13,47591.00336
Algeria,2085,2021,44177969,2.09E+12,47195.46976
Algeria,1908,2017,41136546,1.91E+12,46382.11482
Sudan,1953,2019,43232093,1.95E+12,45174.77329
Algeria,1749,2016,40263711,1.75E+12,43438.61896
Russia,6112,2017,145452536,6.11E+12,42020.58051
Russia,6120,2019,145742287,6.12E+12,41991.93059
Russia,6000,2021,145102755,6.00E+12,41350.00745
Russia,6021,2018,145652293,6.02E+12,41338.17516
Russia,6018,2020,145617329,6.02E+12,41327.49887
Russia,5872,2016,142355415,5.87E+12,41248.86995
Colombia,1900,2016,47220856,1.90E+12,40236.45823
Pakistan,5750,2020,227196741,5.75E+12,39487.05858
Thailand,2680,2016,68200824,2.68E+12,39295.71291
Sudan,1632,2018,41999059,1.63E+12,38858.01346
Mexico,4769,2016,123166749,4.77E+12,38719.86586
Sudan,1564,2017,40679828,1.56E+12,38446.57357
European Union,17000,2017,447206135,1.70E+13,38013.78977
Colombia,1858,2018,49276962,1.86E+12,37705.24652
European Union,16750,2021,447206135,1.68E+13,37454.76345
Sudan,1653,2020,44440486,1.65E+12,37195.81285
European Union,16600,2020,446785022,1.66E+13,37154.33415
European Union,16600,2019,447206135,1.66E+13,37119.34766
Colombia,1860,2019,50187407,1.86E+12,37061.08985
Colombia,1900,2021,51516562,1.90E+12,36881.34313
Colombia,1875,2020,50930663,1.88E+12,36814.75735
Mexico,4512,2017,122839258,4.51E+12,36730.92848
Colombia,1764,2017,48351671,1.76E+12,36482.71018
Thailand,2580,2017,70898203,2.58E+12,36390.20301
South Africa,1960,2016,54300704,1.96E+12,36095.2963
Turkey,2999,2019,83481684,3.00E+12,35924.04772
Sudan,1615,2021,45657202,1.62E+12,35372.29461
Sudan,1290,2016,36729501,1.29E+12,35121.63152
Thailand,2500,2021,71601103,2.50E+12,34915.66324
Thailand,2480,2018,71127802,2.48E+12,34866.81621
Mexico,4317,2018,124013862,4.32E+12,34810.62464
Mexico,4349,2019,125085311,4.35E+12,34768.27107
Thailand,2480,2020,71475665,2.48E+12,34697.12384
Turkey,2940,2021,84775404,2.94E+12,34679.87012
South Africa,1961,2017,56641210,1.96E+12,34621.43552
Turkey,2910,2020,84135428,2.91E+12,34587.09451
Turkey,2739,2016,80274604,2.74E+12,34120.38009
United States,10979,2016,323995528,1.10E+13,33886.27018
Turkey,2784,2018,82809305,2.78E+12,33619.41028
United States,11173,2019,334319671,1.12E+13,33420.10946
Mexico,4202,2020,125998302,4.20E+12,33349.65578
Turkey,2728,2017,82089827,2.73E+12,33231.88877
European Union,17000,2018,511807706,1.70E+13,33215.59992
United States,10930,2017,329791231,1.09E+13,33142.17897
Thailand,2360,2019,71307763,2.36E+12,33095.97582
Mexico,4192,2021,126705138,4.19E+12,33084.68833
United States,10982,2018,332140038,1.10E+13,33064.36666
United States,11000,2020,335942004,1.10E+13,32743.74704
United States,11000,2021,336997624,1.10E+13,32641.17969
South Korea,1668,2018,51676900,1.67E+12,32277.47794
Iran,2655,2016,82801633,2.66E+12,32064.58501
Egypt,3430,2021,109262178,3.43E+12,31392.38173
South Korea,1623,2019,51803830,1.62E+12,31329.72987
Egypt,2950,2016,94666993,2.95E+12,31161.86441
Egypt,3340,2020,107465134,3.34E+12,31079.84772
Iran,2721,2021,87923433,2.72E+12,30947.38123
South Africa,1770,2018,57339635,1.77E+12,30868.70016
United Kingdom,1983,2016,64430428,1.98E+12,30777.38363
South Korea,1595,2021,51830139,1.60E+12,30773.60067
Egypt,3250,2019,105618671,3.25E+12,30771.07456
South Korea,1575,2020,51844691,1.58E+12,30379.19543
European Union,15441,2016,510300000,1.54E+13,30258.67137
Egypt,3050,2017,101789386,3.05E+12,29963.8314
Egypt,3100,2018,103740766,3.10E+12,29882.17766
South Korea,1519,2017,51511639,1.52E+12,29488.48123
Iran,2571,2020,87290193,2.57E+12,29453.48053
Iran,2492,2018,85617562,2.49E+12,29106.17801
Iran,2448,2017,84505077,2.45E+12,28968.67368
South Africa,1710,2021,59392255,1.71E+12,28791.63285
United Kingdom,1896,2017,66064805,1.90E+12,28699.09326
United Kingdom,1900,2018,66432994,1.90E+12,28600.24644
South Africa,1670,2020,58801927,1.67E+12,28400.4298
South Korea,1424,2016,50924172,1.42E+12,27963.14489
Indonesia,7500,2021,273753191,7.50E+12,27396.94092
Indonesia,7445,2020,271857971,7.45E+12,27385.62336
Indonesia,7356,2019,269582878,7.36E+12,27286.59941
Indonesia,7055,2018,267066843,7.06E+12,26416.60762
South Africa,1520,2019,58087055,1.52E+12,26167.62031
Iran,2216,2019,86564202,2.22E+12,25599.49666
Pakistan,5900,2021,231402117,5.90E+12,25496.74167
United Kingdom,1700,2019,66778659,1.70E+12,25457.23477
United Kingdom,1700,2020,67059474,1.70E+12,25350.63129
United Kingdom,1700,2021,67281040,1.70E+12,25267.14807
Pakistan,5100,2016,201995540,5.10E+12,25248.08221
Pakistan,5600,2019,223293280,5.60E+12,25079.12464
Pakistan,5400,2018,219731480,5.40E+12,24575.45
Pakistan,5300,2017,216379655,5.30E+12,24493.98489
Indonesia,6375,2017,264498853,6.38E+12,24102.18391
Indonesia,6186,2016,258316051,6.19E+12,23947.40852
Vietnam,2120,2021,97468029,2.12E+12,21750.72197
Philippines,2190,2016,102624209,2.19E+12,21339.99396
Philippines,2300,2018,108568836,2.30E+12,21184.7164
Philippines,2250,2017,106738502,2.25E+12,21079.55384
Philippines,2300,2019,110380805,2.30E+12,20836.95621
Vietnam,1984,2020,96648685,1.98E+12,20527.95648
India,28500,2021,1407563842,2.85E+13,20247.74944
India,25500,2016,1266883598,2.55E+13,20128.13177
India,27500,2018,1369003307,2.75E+13,20087.6067
India,28000,2020,1396387127,2.80E+13,20051.74601
India,26500,2017,1354195680,2.65E+13,19568.8115
India,27000,2019,1383112051,2.70E+13,19521.19496
Philippines,2200,2021,113880328,2.20E+12,19318.52532
Vietnam,1838,2016,95261021,1.84E+12,19294.35545
Vietnam,1756,2017,94033048,1.76E+12,18674.28566
Vietnam,1768,2019,95776717,1.77E+12,18459.6012
Philippines,2000,2020,112190978,2.00E+12,17826.74539
Vietnam,1573,2018,94914331,1.57E+12,16572.83977
Bangladesh,2659,2017,161793964,2.66E+12,16434.48207
Japan,2063,2017,126662472,2.06E+12,16287.38147
Japan,2031,2016,126702133,2.03E+12,16029.72225
