Country,Value,Year
Brazil,28500,2016
Thailand,7016,2016
India,2125,2016
Australia,4000,2016
Guatemala,1978,2016
Mexico,1287,2016
European Union,1987,2016
South Africa,218,2016
Pakistan,400,2016
Colombia,695,2016
Morocco,484,2016
Eswatini,587,2016
El Salvador,473,2016
Nicaragua,454,2016
Belarus,456,2016
Cuba,1160,2016
Saudi Arabia,367,2016
Russia,435,2016
Mauritius,474,2016
South Korea,343,2016
Nigeria,300,2016
Algeria,341,2016
Egypt,300,2016
Malaysia,207,2016
Costa Rica,230,2016
Brazil,28200,2017
Thailand,10907,2017
India,2236,2017
Australia,3600,2017
Guatemala,1881,2017
Mexico,1146,2017
European Union,4349,2017
South Africa,768,2017
Pakistan,1600,2017
Colombia,732,2017
Morocco,380,2017
Eswatini,519,2017
El Salvador,449,2017
Nicaragua,388,2017
Belarus,393,2017
Cuba,557,2017
Saudi Arabia,360,2017
Russia,612,2017
Mauritius,390,2017
South Korea,325,2017
Nigeria,300,2017
Algeria,323,2017
Egypt,200,2017
Malaysia,149,2017
Costa Rica,212,2017
Brazil,19600,2018
Thailand,10612,2018
India,4700,2018
Australia,3735,2018
Guatemala,2125,2018
Mexico,2337,2018
European Union,2411,2018
South Africa,1041,2018
Pakistan,1100,2018
Colombia,801,2018
Morocco,497,2018
Eswatini,582,2018
El Salvador,532,2018
Nicaragua,534,2018
Belarus,387,2018
Cuba,576,2018
Saudi Arabia,353,2018
Russia,382,2018
Mauritius,347,2018
South Korea,306,2018
Nigeria,300,2018
Algeria,190,2018
Egypt,200,2018
Malaysia,123,2018
Costa Rica,209,2018
Brazil,19280,2019
Thailand,6672,2019
India,5800,2019
Australia,3600,2019
Guatemala,1858,2019
Mexico,1285,2019
European Union,1459,2019
South Africa,1451,2019
Pakistan,75,2019
Colombia,780,2019
Morocco,664,2019
Eswatini,778,2019
El Salvador,508,2019
Nicaragua,497,2019
Belarus,442,2019
Cuba,691,2019
Saudi Arabia,429,2019
Russia,1542,2019
Mauritius,395,2019
South Korea,313,2019
Nigeria,300,2019
Algeria,321,2019
Egypt,300,2019
Malaysia,109,2019
Costa Rica,199,2019
Brazil,32150,2020
Thailand,7300,2020
India,6000,2020
Australia,3335,2020
Guatemala,1729,2020
Mexico,1589,2020
European Union,1000,2020
South Africa,985,2020
Pakistan,50,2020
Colombia,700,2020
Morocco,680,2020
Eswatini,634,2020
El Salvador,540,2020
Nicaragua,509,2020
Belarus,450,2020
Cuba,350,2020
Saudi Arabia,390,2020
Russia,390,2020
Mauritius,370,2020
South Korea,340,2020
Nigeria,300,2020
Algeria,320,2020
Egypt,300,2020
Malaysia,275,2020
Costa Rica,225,2020
Brazil,29170,2021
Thailand,10445,2021
India,6000,2021
Australia,3535,2021
Guatemala,1823,2021
Mexico,1615,2021
European Union,1000,2021
South Africa,995,2021
Pakistan,800,2021
Colombia,770,2021
Morocco,700,2021
Eswatini,645,2021
El Salvador,530,2021
Nicaragua,510,2021
Belarus,460,2021
Cuba,450,2021
Saudi Arabia,425,2021
Russia,400,2021
Mauritius,380,2021
South Korea,350,2021
Nigeria,350,2021
Algeria,320,2021
Egypt,300,2021
Malaysia,275,2021
Costa Rica,230,2021
