Country,Value,Year
Brazil,39150,2016
India,22200,2016
European Union,15505,2016
Thailand,10033,2016
China,9300,2016
United States,8137,2016
Pakistan,6825,2016
Mexico,6314,2016
Russia,6200,2016
Australia,5100,2016
Egypt,2270,2016
Turkey,2500,2016
Guatemala,2719,2016
Colombia,2300,2016
Indonesia,2050,2016
South Africa,1607,2016
Philippines,2500,2016
Iran,1770,2016
Argentina,2050,2016
Ukraine,2156,2016
Peru,1238,2016
Cuba,1800,2016
United Kingdom,897,2016
Vietnam,1520,2016
Japan,720,2016
Brazil,38870,2017
India,34309,2017
European Union,19508,2017
Thailand,14710,2017
China,10300,2017
United States,8430,2017
Pakistan,7225,2017
Mexico,6371,2017
Russia,6560,2017
Australia,4480,2017
Egypt,2320,2017
Turkey,2500,2017
Guatemala,2865,2017
Colombia,2500,2017
Indonesia,2100,2017
South Africa,2064,2017
Philippines,2100,2017
Iran,2190,2017
Argentina,1870,2017
Ukraine,2180,2017
Peru,1080,2017
Cuba,1100,2017
United Kingdom,1364,2017
Vietnam,1540,2017
Japan,830,2017
Brazil,29500,2018
India,34300,2018
European Union,16750,2018
Thailand,14581,2018
China,10760,2018
United States,8164,2018
Pakistan,5270,2018
Mexico,6812,2018
Russia,6080,2018
Australia,4725,2018
Egypt,2405,2018
Turkey,2700,2018
Guatemala,2966,2018
Colombia,2400,2018
Indonesia,2200,2018
South Africa,2257,2018
Philippines,2100,2018
Iran,1575,2018
Argentina,1570,2018
Ukraine,1753,2018
Peru,1262,2018
Cuba,1300,2018
United Kingdom,1133,2018
Vietnam,1300,2018
Japan,780,2018
Brazil,30300,2019
India,28900,2019
European Union,16556,2019
Thailand,8294,2019
China,10400,2019
United States,7392,2019
Pakistan,5400,2019
Mexico,5596,2019
Russia,7800,2019
Australia,4285,2019
Egypt,2740,2019
Turkey,2750,2019
Guatemala,2764,2019
Colombia,2350,2019
Indonesia,2250,2019
South Africa,2295,2019
Philippines,2150,2019
Iran,1180,2019
Argentina,1750,2019
Ukraine,1638,2019
Peru,1197,2019
Cuba,1200,2019
United Kingdom,1191,2019
Vietnam,850,2019
Japan,820,2019
Brazil,42050,2020
India,33760,2020
European Union,14717,2020
Thailand,7570,2020
China,10500,2020
United States,8436,2020
Pakistan,6010,2020
Mexico,6175,2020
Russia,5750,2020
Australia,4335,2020
Egypt,2780,2020
Turkey,2800,2020
Guatemala,2622,2020
Colombia,2220,2020
Indonesia,2130,2020
South Africa,2106,2020
Philippines,2100,2020
Iran,1750,2020
Argentina,1830,2020
Ukraine,1134,2020
Peru,1265,2020
Cuba,900,2020
United Kingdom,900,2020
Vietnam,810,2020
Japan,800,2020
Brazil,39920,2021
India,34700,2021
European Union,15800,2021
Thailand,10603,2021
China,10600,2021
United States,8446,2021
Pakistan,6840,2021
Mexico,6158,2021
Russia,6100,2021
Australia,4400,2021
Egypt,2855,2021
Turkey,2800,2021
Guatemala,2700,2021
Colombia,2400,2021
Indonesia,2200,2021
South Africa,2174,2021
Philippines,2100,2021
Iran,1950,2021
Argentina,1550,2021
Ukraine,1399,2021
Peru,1300,2021
Cuba,1100,2021
United Kingdom,1000,2021
Vietnam,890,2021
Japan,830,2021
