Entity,Code,Year,Value,
Afghanistan,AFG,2011,7.599999905,
Pakistan,PAK,2021,30.79999924,
Albania,ALB,2011,2.799999952,
French Polynesia,PYF,2021,25.20000076,
Algeria,DZA,2011,7,
Kuwait,KWT,2021,24.89999962,
Nauru,NRU,2021,23.39999962,
Andorra,AND,2011,5.400000095,
New Caledonia,NCL,2021,23.39999962,
Angola,AGO,2011,2.900000095,
Northern Mariana Islands,MNP,2021,23.39999962,
Antigua and Barbuda,ATG,2011,12.5,
Marshall Islands,MHL,2021,23,
Argentina,ARG,2011,5.5,
Mauritius,MUS,2021,22.60000038,
Armenia,ARM,2011,8.5,
Kiribati,KIR,2021,22.10000038,
Aruba,ABW,2000,12.10000038,
Aruba,ABW,2011,12.39999962,
Egypt,EGY,2021,20.89999962,
Australia,AUS,2000,0,
Australia,AUS,2011,6.599999905,
American Samoa,ASM,2021,20.29999924,
Austria,AUT,2011,6.599999905,
Tuvalu,TUV,2021,20.29999924,
Azerbaijan,AZE,2011,2.799999952,
Solomon Islands,SLB,2021,19.79999924,
Bahamas,BHS,2011,12.10000038,
Qatar,QAT,2021,19.5,
Bahrain,BHR,2000,14.80000019,
Bahrain,BHR,2011,19.5,
Guam,GUM,2021,19.10000038,
Bangladesh,BGD,2011,10.5,
Malaysia,MYS,2021,19,
Barbados,BRB,2000,13.19999981,
Barbados,BRB,2011,12.39999962,
Sudan,SDN,2021,18.89999962,
Belarus,BLR,2011,8,
Saudi Arabia,SAU,2021,18.70000076,
Belgium,BEL,2011,4.800000191,
Fiji,FJI,2021,17.70000076,
Belize,BLZ,2011,17,
Palau,PLW,2021,17,
Benin,BEN,2011,2,
Mexico,MEX,2021,16.89999962,
Bermuda,BMU,2000,12.10000038,
Bermuda,BMU,2011,12,
Papua New Guinea,PNG,2021,16.70000076,
Bhutan,BTN,2011,5.699999809,
United Arab Emirates,ARE,2021,16.39999962,
Bolivia,BOL,2011,6.599999905,
Saint Kitts and Nevis,KNA,2021,16.10000038,
Bosnia and Herzegovina,BIH,2011,7.5,
Micronesia (country),FSM,2021,15.60000038,
Botswana,BWA,2011,10.80000019,
Vanuatu,VUT,2021,15.60000038,
Brazil,BRA,2011,10.10000038,
Jordan,JOR,2021,15.39999962,
British Virgin Islands,VGB,2000,12.10000038,
British Virgin Islands,VGB,2011,8.600000381,
Tonga,TON,2021,15,
Brunei,BRN,2011,9.399999619,
Syria,SYR,2021,14.89999962,
Bulgaria,BGR,2011,6.699999809,
Belize,BLZ,2021,14.5,
Burkina Faso,BFA,2011,3,
Turkey,TUR,2021,14.5,
Burundi,BDI,2011,2.700000048,
Bangladesh,BGD,2021,14.19999981,
Cambodia,KHM,2011,2.900000095,
Barbados,BRB,2021,14,
Cameroon,CMR,2000,0,
Cameroon,CMR,2011,6.099999905,
Oman,OMN,2021,13.80000019,
Canada,CAN,2011,8.399999619,
Puerto Rico,PRI,2021,13.30000019,
Cape Verde,CPV,2011,5.400000095,
Guatemala,GTM,2021,13.10000038,
Cayman Islands,CYM,2000,12.10000038,
Cayman Islands,CYM,2011,12,
Bermuda,BMU,2021,13,
Central African Republic,CAF,2011,3.200000048,
Cayman Islands,CYM,2021,13,
Chad,TCD,2011,3.900000095,
Middle East and North Africa,,2021,12.87363911,
Channel Islands,OWID_CIS,2011,4.900000095,
Suriname,SUR,2021,12.69999981,
Chile,CHL,2011,9.5,
Trinidad and Tobago,TTO,2021,12.69999981,
China,CHN,2011,8.800000191,
Grenada,GRD,2021,12.60000038,
Colombia,COL,2011,9.800000191,
United States Virgin Islands,VIR,2021,12.39999962,
Comoros,COM,2011,8.399999619,
South Asia,,2021,12.32559681,
Congo,COG,2011,5.5,
Tanzania,TZA,2021,12.30000019,
Costa Rica,CRI,2011,9.600000381,
Zambia,ZMB,2021,11.89999962,
Cote d'Ivoire,CIV,2011,4.900000095,
Antigua and Barbuda,ATG,2021,11.69999981,
Croatia,HRV,2011,5.199999809,
Comoros,COM,2021,11.69999981,
Cuba,CUB,2011,9.399999619,
Curacao,CUW,2021,11.69999981,
Dominica,DMA,2021,11.69999981,
Cyprus,CYP,2011,9.300000191,
Guyana,GUY,2021,11.69999981,
Czechia,CZE,2000,11.69999981,
Czechia,CZE,2011,5.300000191,
Saint Lucia,LCA,2021,11.69999981,
Democratic Republic of Congo,COD,2011,3.099999905,
Singapore,SGP,2021,11.60000038,
Denmark,DNK,2011,5.599999905,
Bahrain,BHR,2021,11.30000019,
Djibouti,DJI,2011,6.300000191,
Sri Lanka,LKA,2021,11.30000019,
Dominica,DMA,2011,8.899999619,
Brunei,BRN,2021,11.10000038,
Dominican Republic,DOM,2011,8.100000381,
Jamaica,JAM,2021,11.10000038,
East Asia and Pacific,,2011,8.028499603,
Afghanistan,AFG,2021,10.89999962,
Ecuador,ECU,2011,6.599999905,
Chile,CHL,2021,10.80000019,
Egypt,EGY,2011,16.60000038,
South Africa,ZAF,2021,10.80000019,
El Salvador,SLV,2011,9.399999619,
Iraq,IRQ,2021,10.69999981,
Equatorial Guinea,GNQ,2011,4.199999809,
United States,USA,2021,10.69999981,
Eritrea,ERI,2011,3.599999905,
China,CHN,2021,10.60000038,
Estonia,EST,2011,7,
Indonesia,IDN,2021,10.60000038,
Eswatini,SWZ,2011,3.099999905,
Lower middle income,,2021,10.52729797,
Ethiopia,ETH,2011,3.400000095,
Dominican Republic,DOM,2021,10.5,
Europe and Central Asia,,2011,6.547325134,
Middle income,,2021,10.40682697,
European Union,,2011,6.018697739,
Bhutan,BTN,2021,10.39999962,
North America,,2021,10.38202858,
Fiji,FJI,2011,10.89999962,
Spain,ESP,2021,10.30000019,
Finland,FIN,2011,5.800000191,
Upper middle income,,2021,10.26515865,
France,FRA,2011,5.400000095,
Albania,ALB,2021,10.19999981,
French Polynesia,PYF,2011,8.600000381,
Low and middle income,,2021,10.09613609,
Gabon,GAB,2011,10.30000019,
Latin America and Caribbean,,2021,9.893173218,
Gambia,GMB,2011,2,
East Asia and Pacific,,2021,9.863461494,
Georgia,GEO,2011,2.799999952,
World,OWID_WRL,2021,9.803711891,
Germany,DEU,2011,5.300000191,
Andorra,AND,2021,9.699999809,
Ghana,GHA,2011,5,
Thailand,THA,2021,9.699999809,
Greece,GRC,2011,5.099999905,
India,IND,2021,9.600000381,
Tunisia,TUN,2021,9.600000381,
Grenada,GRD,2000,12.10000038,
Grenada,GRD,2011,8.600000381,
Venezuela,VEN,2021,9.600000381,
Guam,GUM,2011,8.600000381,
Nicaragua,NIC,2021,9.300000191,
Guatemala,GTM,2011,9.300000191,
Maldives,MDV,2021,9.199999809,
Guinea,GIN,2011,4.400000095,
Palestine,PSE,2021,9.199999809,
Guinea-Bissau,GNB,2011,3,
Samoa,WSM,2021,9.199999809,
Guyana,GUY,2011,16.70000076,
Bosnia and Herzegovina,BIH,2021,9.100000381,
Haiti,HTI,2011,6.599999905,
Iran,IRN,2021,9.100000381,
High income,,2011,7.805734634,
Montenegro,MNE,2021,9.100000381,
Honduras,HND,2011,6.699999809,
Morocco,MAR,2021,9.100000381,
Hong Kong,HKG,2000,12.10000038,
Hong Kong,HKG,2011,7.599999905,
Portugal,PRT,2021,9.100000381,
Hungary,HUN,2011,6,
Serbia,SRB,2021,9.100000381,
Iceland,ISL,2011,3.200000048,
Uruguay,URY,2021,9,
India,IND,2011,9,
Haiti,HTI,2021,8.899999619,
Indonesia,IDN,2011,5.099999905,
Bahamas,BHS,2021,8.800000191,
Iran,IRN,2011,11.10000038,
Brazil,BRA,2021,8.800000191,
Iraq,IRQ,2011,9.100000381,
Costa Rica,CRI,2021,8.800000191,
Ireland,IRL,2011,5.199999809,
British Virgin Islands,VGB,2021,8.699999809,
Libya,LBY,2021,8.699999809,
Israel,ISR,2011,7.400000095,
Nepal,NPL,2021,8.699999809,
Italy,ITA,2011,5.099999905,
Cyprus,CYP,2021,8.600000381,
Jamaica,JAM,2011,15.69999981,
North Korea,PRK,2021,8.600000381,
Japan,JPN,2011,7.699999809,
Timor,TLS,2021,8.600000381,
Jordan,JOR,2011,12.10000038,
Israel,ISR,2021,8.5,
Kazakhstan,KAZ,2011,7.699999809,
Seychelles,SYC,2021,8.5,
Kenya,KEN,2011,5.099999905,
High income,,2021,8.430701256,
Kiribati,KIR,2011,25.29999924,
Colombia,COL,2021,8.300000191,
Kuwait,KWT,2011,20.70000076,
Panama,PAN,2021,8.199999809,
Kyrgyzstan,KGZ,2011,6.300000191,
Lebanon,LBN,2021,8,
Laos,LAO,2011,3.299999952,
Malta,MLT,2021,8,
Latin America and Caribbean,,2011,10.28379345,
Saint Vincent and the Grenadines,VCT,2021,8,
Latvia,LVA,2011,7.800000191,
Hong Kong,HKG,2021,7.800000191,
Lebanon,LBN,2011,19.60000038,
Macao,MAC,2021,7.800000191,
Lesotho,LSO,2011,3.400000095,
Canada,CAN,2021,7.699999809,
Liberia,LBR,2011,3.299999952,
Cuba,CUB,2021,7.599999905,
Libya,LBY,2011,13.80000019,
Paraguay,PRY,2021,7.5,
Liechtenstein,LIE,2011,4.699999809,
Bulgaria,BGR,2021,7.400000095,
Lithuania,LTU,2011,7.800000191,
Djibouti,DJI,2021,7.400000095,
Low and middle income,,2011,8.227613449,
San Marino,SMR,2021,7.400000095,
Low income,,2011,4.937906742,
Cambodia,KHM,2021,7.300000191,
Lower middle income,,2011,7.903477192,
Malawi,MWI,2021,7.300000191,
Luxembourg,LUX,2011,4.5,
Algeria,DZA,2021,7.099999905,
Macao,MAC,2011,7.199999809,
Czechia,CZE,2021,7.099999905,
Madagascar,MDG,2011,4.699999809,
Myanmar,MMR,2021,7.099999905,
Malawi,MWI,2011,5.599999905,
Philippines,PHL,2021,7.099999905,
Malaysia,MYS,2011,12.10000038,
Europe and Central Asia,,2021,7.041573524,
Maldives,MDV,2011,9.199999809,
Hungary,HUN,2021,7,
Mali,MLI,2011,1.899999976,
Uzbekistan,UZB,2021,7,
Malta,MLT,2011,6.599999905,
Germany,DEU,2021,6.900000095,
Marshall Islands,MHL,2011,21.79999924,
Mongolia,MNG,2021,6.900000095,
Mauritania,MRT,2011,4.300000191,
Poland,POL,2021,6.800000191,
Mauritius,MUS,2000,15,
Mauritius,MUS,2011,14.80000019,
South Korea,KOR,2021,6.800000191,
Mexico,MEX,2000,14.19999981,
Mexico,MEX,2011,15.60000038,
Namibia,NAM,2021,6.699999809,
Micronesia (country),FSM,2011,15.69999981,
Turkmenistan,TKM,2021,6.699999809,
Middle East and North Africa,,2011,12.24350929,
Low income,,2021,6.669588089,
Middle income,,2011,8.475311279,
European Union,,2021,6.607043266,
Moldova,MDA,2011,2.700000048,
Japan,JPN,2021,6.599999905,
Monaco,MCO,2011,5.599999905,
Kazakhstan,KAZ,2021,6.599999905,
Mongolia,MNG,2011,7.099999905,
Kyrgyzstan,KGZ,2021,6.599999905,
Montenegro,MNE,2011,7.699999809,
Tajikistan,TJK,2021,6.599999905,
Morocco,MAR,2011,6.800000191,
Burundi,BDI,2021,6.5,
Mozambique,MOZ,2011,3.099999905,
Eritrea,ERI,2021,6.5,
Myanmar,MMR,2011,7.099999905,
Estonia,EST,2021,6.5,
Namibia,NAM,2011,7.800000191,
Romania,ROU,2021,6.5,
Nauru,NRU,2011,20.39999962,61
Rwanda,RWA,2021,6.5,
Nepal,NPL,2011,3.599999905,
Somalia,SOM,2021,6.5,
Netherlands,NLD,2011,5.300000191,
South Sudan,SSD,2021,6.5,
New Caledonia,NCL,2011,8.600000381,
Australia,AUS,2021,6.400000095,
New Zealand,NZL,2011,8.600000381,
Greece,GRC,2021,6.400000095,
Nicaragua,NIC,2011,11,
Italy,ITA,2021,6.400000095,
Niger,NER,2011,4.199999809,
Channel Islands,OWID_CIS,2021,6.300000191,
Nigeria,NGA,2011,4.800000191,
El Salvador,SLV,2021,6.300000191,
North America,,2011,9.296712875,
Isle of Man,IMN,2021,6.300000191,
North Korea,PRK,2011,8.399999619,
United Kingdom,GBR,2021,6.300000191,
North Macedonia,MKD,2011,7.699999809,
Laos,LAO,2021,6.199999809,
Monaco,MCO,2021,6.199999809,
Norway,NOR,2011,4.699999809,
New Zealand,NZL,2021,6.199999809,
Oman,OMN,2011,10.5,
