Category,Description,Nutrient Data Bank Number,Alpha Carotene,Beta Carotene,Beta Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Lutein and Zeaxanthin,Lycopene,Niacin,Protein,Retinol,Riboflavin,Selenium,Sugar Total,Thiamin,Water,Fat.Monosaturated Fat,Fat.Polysaturated Fat,Fat.Saturated Fat,Fat.Total Lipid,Major Minerals.Calcium,Major Minerals.Copper,Major Minerals.Iron,Major Minerals.Magnesium,Major Minerals.Phosphorus,Major Minerals.Potassium,Major Minerals.Sodium,Major Minerals.Zinc,Vitamins.Vitamin A - RAE,Vitamins.Vitamin B12,Vitamins.Vitamin B6,Vitamins.Vitamin C,Vitamins.Vitamin E,Vitamins.Vitamin K
Alcohol,Tequila Sunrise,93301320,5,5,18,13.47,0,4.2,0.2,18,0,0.191,0.46,0,0.028,0.1,9.61,0.032,77.47,0.015,0.02,0.009,0.08,38,0.036,0.1,8,20,122,4,0.07,1,0,0.051,22.5,0.13,0
Alcohol,Eggnog,11531000,0,7,0,8.05,59,52.2,0,54,0,0.105,4.55,58,0.19,4.2,8.05,0.034,82.54,1.302,0.198,2.591,4.19,130,0.013,0.2,19,109,165,54,0.46,59,0.45,0.05,1.5,0.21,0.3
Alcohol,"Wine, dessert, sweet",93402000,0,0,0,13.69,0,5,0,0,0,0.213,0.2,0,0.018,0.5,7.78,0.018,70.51,0,0,0,0,8,0.045,0.24,9,9,92,9,0.07,0,0,0,0,0,0
Alcohol,Rum and cola,93301190,0,0,0,7.8,0,0.2,0,0,0,0.003,0,0,0.001,0.1,7.48,0.001,83.73,0,0,0,0.19,1,0.01,0.02,0,8,4,3,0.08,0,0,0,0,0,0
Alcohol,Vodka and cola,93301214,0,0,0,7.8,0,0.2,0,0,0,0.003,0,0,0.001,0.1,7.48,0.001,83.73,0,0,0,0.19,1,0.01,0.02,0,8,4,3,0.08,0,0,0,0,0,0
Alcohol,Whiskey and cola,93301182,0,0,0,7.8,0,0.2,0,0,0,0.003,0,0,0.001,0.1,7.48,0.001,83.73,0,0,0,0.19,1,0.01,0.02,0,8,4,3,0.08,0,0,0,0,0,0
Alcohol,"Sangria, white",93404560,0,0,1,8.26,0,2.3,0,0,0,0.059,0.04,0,0.008,0.1,7.33,0.003,82.6,0.002,0.021,0.002,0.04,6,0.014,0.15,6,9,39,11,0.1,0,0,0.026,0.3,0,0.2
Alcohol,"Sangria, red",93404550,0,1,1,8.26,0,3,0,3,0,0.119,0.04,0,0.017,0.2,7.16,0.003,82.41,0.002,0.021,0.002,0.04,6,0.018,0.25,7,12,68,10,0.11,0,0,0.03,0.3,0,0.2
Alcohol,"Fruit punch, alcoholic",93301270,0,1,0,8.14,0,1.2,0.1,0,0,0.078,0.14,0,0.009,0.1,7.11,0.023,83.31,0.005,0.016,0.003,0.04,6,0.038,0.19,5,4,50,4,0.07,0,0,0.038,3.8,0.01,0.1
Alcohol,Whiskey and ginger ale,93301184,0,0,0,6.59,0,0,0,0,0,0.003,0,0,0.001,0.1,6.7,0.001,85.14,0,0,0,0,2,0.019,0.14,1,1,1,6,0.05,0,0,0,0,0,0
